,catalogNumber,decimalLatitude,decimalLongitude,Combination,Concepts,Names,Ranks,Statuses
0,TRIUC0001,35.53,-86.07,4,3,5,3,3
1,TRIUC0002,35.41,-86.08,4,3,5,3,3
2,TRIUC0003,35.37,-85.99,4,3,5,3,3
3,TRIUC0004,35.43,-86.0,4,3,5,3,3
4,TRIUC0005,34.86,-86.95,4,3,5,3,3
5,TRIUC0006,34.97,-86.25,4,3,5,3,3
6,TRIUC0007,34.79,-86.64,4,3,5,3,3
7,TRIUC0008,34.69,-86.8,4,3,5,3,3
8,TRIUC0009,36.07,-85.02,4,3,5,3,3
9,TRIUC0010,34.74,-86.64,4,3,5,3,3
10,TRIUC0011,35.17,-86.68,4,3,5,3,3
11,TRIUC0012,35.58,-86.12,4,3,5,3,3
12,TRIUC0013,36.13,-85.56,4,3,5,3,3
13,TRIUC0014,34.5,-86.96,4,3,5,3,3
14,TRIUC0015,34.81,-86.08,4,3,5,3,3
15,TRIUC0016,34.32,-86.39,4,3,5,3,3
16,TRIUC0017,34.88,-87.0,4,3,5,3,3
17,TRIUC0018,35.03,-86.45,4,3,5,3,3
18,TRIUC0019,35.84,-85.09,4,3,5,3,3
19,TRIUC0020,35.48,-86.08,4,3,5,3,3
20,TRIUC0021,35.49,-86.06,4,3,5,3,3
21,TRIUC0022,35.8,-85.01,4,3,5,3,3
22,TRIUC0023,35.48,-86.04,4,3,5,3,3
23,TRIUC0024,35.51,-86.09,4,3,5,3,3
24,TRIUC0025,35.47,-86.06,4,3,5,3,3
25,TRIUC0026,35.18,-86.49,4,3,5,3,3
26,TRIUC0027,35.06,-86.58,4,3,5,3,3
27,TRIUC0028,36.23,-85.55,4,3,5,3,3
28,TRIUC0029,35.27,-85.99,4,3,5,3,3
29,TRIUC0030,36.2,-85.58,4,3,5,3,3
30,TRIUC0031,35.35,-85.97,4,3,5,3,3
31,TRIUC0032,36.07,-85.97,4,3,5,3,3
32,TRIUC0033,34.61,-86.69,4,3,5,3,3
33,TRIUC0034,34.68,-86.34,4,3,5,3,3
34,TRIUC0035,34.61,-86.36,4,3,5,3,3
35,TRIUC0036,34.62,-86.57,4,3,5,3,3
36,TRIUC0037,34.69,-86.64,4,3,5,3,3
37,TRIUC0038,34.64,-86.89,4,3,5,3,3
38,TRIUC0039,35.01,-80.23,6,3,4,3,2
39,TRIUC0040,35.09,-80.17,6,3,4,3,2
40,TRIUC0041,38.06,-75.28,8,3,4,3,2
41,TRIUC0042,35.0,-83.98,5,3,4,3,3
42,TRIUC0043,35.19,-83.61,5,3,4,3,3
43,TRIUC0044,38.07,-75.28,8,3,4,3,2
44,TRIUC0045,36.57,-76.42,8,3,4,3,2
45,TRIUC0046,36.48,-76.16,8,3,4,3,2
